Time	[pyruvate]	[adpc]	[atpc]	[phosphoenolpyruvate]	[2phosphoglycerate]	[ampc]	[3phosphoglycerate cytosol]	[dihydroxyacetonephosphate cytosol]	[glycerol3phosphate cytosol]	[glucose]	[atpg]	[adpg]	[ampg]	[glucose6phosphate]	[fructose6phosphate]	[fructose16bisphosphate]	[dihydroxyacetonephosphate]	[glyceraldehyde3phosphate]	[nad]	[nadh]	[bisphosphoglycerate]	[glycerol3phosphate]	[3phosphoglycerate]	[glycerol]	[glucose external]	[pyruvate external]	[glycerol external]
19	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
20	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
21	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
22	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
23	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
24	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
25	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
26	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
27	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
28	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
29	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
30	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
31	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
32	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
33	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
34	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
35	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
36	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
37	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
38	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
39	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
40	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
41	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
42	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
