Time	[EGF]	[EGFR]	[EGF-EGFR]	[EGF-EGFR^2]	[EGF-EGFR*^2]	[EGFRi]	[EGF-EGFR*^2-GAP-Grb2-Prot]	[EGF-EGFRi*^2]	[Proti]	[EGF-EGFRi]	[EGF-EGFRi^2]	[Prot]	[EGFideg]	[GAP]	[EGF-EGFR*^2-GAP]	[EGFi]	[EGF-EGFRi*^2-GAP]	[EGF-EGFRi*^2-GAP-Grb2]	[EGF-EGFRi*^2-GAP-Grb2-Sos]	[EGF-EGFRi*^2-GAP-Grb2-Sos-Ras-GDP]	[EGF-EGFRi*^2-GAP-Grb2-Sos-Ras-GTP]	[Grb2]	[EGF-EGFR*^2-GAP-Grb2]	[Sos]	[EGF-EGFR*^2-GAP-Grb2-Sos]	[Ras-GDP]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GDP]	[Ras-GTP]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GTP]	[Grb2-Sos]	[Shc]	[EGF-EGFR*^2-GAP-Shc]	[EGF-EGFR*^2-GAP-Shc*]	[EGF-EGFR*^2-GAP-Shc*-Grb2]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GDP]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GTP]	[Shc*-Grb2-Sos]	[Shc*-Grb2]	[Shc*]	[Raf]	[Raf-Ras-GTP]	[Ras-GTP*]	[Phosphotase1]	[Raf*]	[Raf*-P'ase]	[MEK]	[MEK-Raf*]	[MEK-P]	[MEK-P-Raf*]	[MEK-PP]	[MEK-PP-P'ase2]	[Phosphatase2]	[MEK-P-P'ase2]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-P-MEK-PP]	[ERK-PP]	[Phosphotase3]	[ERK-PP-P'ase3]	[ERK-P-P'ase3]	[EGF-EGFRi*^2-GAP-Shc]	[EGF-EGFRi*^2-GAP-Shc*]	[EGF-EGFRi*^2-GAP-Shc*-Grb2]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos-Ras-GDP]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos-Ras-GTP]	[Rasi-GTP]	[Rafi-Rasi-GTP]	[Rasi-GTP*]	[Rafi*]	[Rafi*-P'ase]	[MEKi-Rafi*]	[MEKi-P]	[MEKi-P-Rafi*]	[MEKi-PP]	[MEKi-PP-P'ase2i]	[MEKi-P-P'ase2i]	[ERKi-MEKi-PP]	[ERKi-P]	[ERKi-P-MEKi-PP]	[ERKi-PP]	[ERKi-PP-P'ase3i]	[ERKi-P-P'ase3i]	[EGFRideg]	[EGF-EGFRi*^2deg]	[EGF-EGFR*^2-GAP-Grb2-Sos-Prot]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GDP-Prot]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GTP-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GDP-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GTP-Prot]	[t_Raf*]	[t_Ras_GTP]	[t_MEK_PP]	[t_ERK_PP]	[t_SHC_P_t]	[t_EGF_EGFR*]
0	4962	50000	0	0	0	0	0	0	0	0	0	81000	0	12000	0	0	0	0	0	0	0	11000	0	26300	0	72000	0	0	0	40000	101000	0	0	0	0	0	0	0	0	0	40000	0	0	40000	0	0	2.2e+07	0	0	0	0	0	40000	0	2.1e+07	0	0	0	0	1e+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4962	27.1964	1145.49	162.027	15557.9	7.55508	20.3029	79.7322	0.00318107	2.65616	0.696594	78843.8	35.636	3327.95	3.77099e+07	0.0626455	16.9036	7.98136	68.1376	26.7661	2.60088	2122.21	57.2309	18207.5	472.901	27792.3	184.227	14565.5	97.2451	27936.5	78036.2	105.455	334.381	60.0818	2723.06	1062.48	563.525	12325.1	609.814	2767.47	25312.2	618.801	24157.6	39551.5	112.086	432.214	2.09735e+07	12321.6	953592	664.885	196.641	118.223	23529.4	16021.7	2.00848e+07	21806.1	10383.6	30.6732	1.79746	9.11705e+06	369.278	882237	10.9973	35.8321	7.73337	359.466	142.279	14.3944	1031.94	41.9362	806.899	4.37092	16.3106	475.091	20916	0.554506	0.0910888	0.050847	330.622	10.0569	4.36666	5.83487e-06	2.96914e-07	5.37727e-05	343.192	0.327151	1.04462	170.751	101.195	22.2419	22.1622	1051.56	632.553	135.448	14027.1	16258.2	196.732	1.79746	22847.4	24310.4
2	4962	23.8227	973.149	143.357	14180.1	6.29295	36.1838	712.699	0.00443653	34.5865	6.3372	77992.8	908.212	2445.21	5.52974e+07	1.00925	115.018	32.9621	252.91	23.4585	14.9504	2256.94	50.9315	19412.8	366.502	6450.82	33.4351	6063.06	147.716	10332.8	46677.3	120.238	574.863	53.5089	1907.98	174.311	773.254	28631	1613.93	16277	25549.2	267.88	49279.1	39531.9	100.35	394.616	1.8231e+07	9654.66	3.15769e+06	2010.22	3424.16	1041.38	10971.1	25797.9	8.0177e+06	152556	2.6126e+06	137437	315865	268291	2.17914e+06	7.47239e+06	58.4786	283.112	29.9471	1121.36	105.158	69.7187	1934.99	82.3981	5516.39	18.9614	73.5227	1815.62	273323	32.535	43.4405	12.3292	2177.31	1928.02	30144.8	19.7016	36.7184	225.145	79953.1	0.596316	13.658	283.008	78.5862	80.5022	38.4116	1586.2	460.9	443.405	14100.5	8348.33	3467.6	315901	54144	24454
3	4962	23.5229	954.931	140.62	13949.2	7.54394	38.8685	2438.15	0.00370285	172.755	22.3116	78490.1	6847.12	4008.27	1.09435e+08	4.46396	272.077	43.8759	313.765	11.3228	28.5961	1511.28	51.1097	19254.1	323.904	2516.9	11.3834	973.159	146.993	5092.58	15969.5	103.302	609.772	34.2035	1077.74	38.2211	504.436	36079.2	2213.27	40875.6	34017.8	58.971	56440.7	39793.1	37.8131	150.969	1.66819e+07	3337.33	4.12099e+06	994.153	77797.7	12128.7	5865.52	18712.3	8141.59	3533.71	384271	464311	9.95207e+06	34987	9.65654e+06	153743	61.4765	370.901	25.1025	863.074	32.2364	87.7843	645.275	37.2651	9623.79	14.0993	55.9347	1241.73	602042	53.9276	3769.83	584.521	2708.89	171.076	97291.8	5711.8	119482	115127	39599.7	0.867037	73.4414	274.424	38.1248	104.347	36.3508	1317.23	211.343	489.195	5885.96	1714.67	81567.5	1.00716e+07	84865.7	24401.4
4	4962	23.5912	958.092	142.297	14123.6	8.99221	45.6926	4299.8	0.00268945	388.063	41.1438	79177	22243.9	6247.24	1.71168e+08	8.62171	359.456	48.654	343.473	8.21772	36.4657	1293.85	65.9075	19231.7	406.732	1689.84	9.52765	225.755	187.098	4173.69	2414.71	38.9045	290.477	16.7159	493.967	11.7346	236.794	38956.8	2423.64	54141.3	38271.6	15.2406	57394.4	39938.5	10.1029	40.5178	1.61984e+07	865.872	4.40762e+06	284.338	122876	16054.2	4699.21	15456.1	2491.96	1699.77	243110	463742	1.02086e+07	34516.2	9.7874e+06	87335.9	20.3291	155.557	11.5344	391.774	9.99818	50.4452	190.419	12.3349	11327	5.24075	20.941	448.604	756064	25.2513	8801.46	1145.9	2644.63	121.73	27075.4	3702.09	83964.4	80929.8	9814.82	1.20205	210.875	295.258	19.4247	127.231	25.6595	861.551	89.3479	358.811	1700.87	443.75	131678	1.02926e+07	98526.1	24217.3
5	4962	23.5645	955.265	140.21	13895.8	9.02313	54.0141	5262.57	0.00199172	519.108	51.8136	79650	46011.8	7183.8	1.85136e+08	11.576	388.005	52.6032	373.256	7.30526	42.5932	1272.02	72.3721	19263.8	453.604	1392.29	8.74961	123.144	209.641	4092.38	292.285	19.0402	179.758	11.3968	310.34	6.02671	145.38	39830.2	2477.46	56548.5	39367.9	8.30974	57345.9	39977.5	3.40838	13.5921	1.60974e+07	289.622	4.48101e+06	97.2702	101341	14144.3	5006.78	16699.7	3528.81	1984.58	294354	463091	1.01727e+07	34618.7	9.78286e+06	105525	10.0275	95.3331	7.53773	239.946	4.95599	32.1986	102.942	6.78904	12136.5	2.24347	8.92026	190.446	808009	11.529	8186.1	1140.76	3008.43	160.297	25048.8	3183.92	70583	67991.1	9008.14	1.56649	404.63	340.522	12.0367	153.821	16.3422	511.864	37.396	224.044	617.032	241.185	109527	1.02433e+07	100679	24026.4
6	4962	23.3669	942.83	135.927	13463.1	8.39617	58.7082	5772.62	0.00167412	571.398	57.3604	79865.2	75573.1	7438.59	1.84796e+08	13.7193	409.25	56.199	400.269	6.85119	47.6716	1272.51	73.2921	19280.8	462.825	1221.6	7.83147	99.7035	213.392	4093.32	81.0944	16.6469	165.388	10.6277	283.19	4.80259	130.962	40066.8	2490.83	56879	39610.2	6.69492	57096	39986.2	1.97859	7.83767	1.60933e+07	167.69	4.49468e+06	56.4814	73565.1	11418.6	5561.88	18609.5	6633.25	2707.82	403558	460886	1.00579e+07	34866.8	9.74236e+06	145524	9.02869	89.9275	6.82664	206.327	3.63606	27.0826	82.5815	5.45759	12695.8	1.51365	5.98796	128.228	830449	7.97818	6278.32	973.814	3436.25	231.087	31951.5	3114.06	67865.6	65721	11526.1	1.91579	626.272	369.871	8.8198	169.49	11.8206	344.453	16.7123	154.883	377.695	194.438	79843.4	1.01258e+07	100893	23854.4
7	4962	23.1402	928.919	131.615	13032.6	7.72391	60.4082	6119.02	0.00154055	596.134	60.9651	79955.8	109732	7532.11	1.81416e+08	15.569	427.445	58.8012	418.994	6.53735	51.4547	1273.81	72.5151	19288.1	459.652	1115.42	7.10046	88.4254	210.958	4097.45	61.7287	16.1352	161.146	10.3664	275.349	4.25573	126.452	40151.1	2495.46	56942	39677.5	5.93151	56791.3	39988.6	1.59115	6.28736	1.61181e+07	134.946	4.4826e+06	45.254	51980.5	8868.67	6110.98	20406.3	13304.7	3837.63	566811	457402	9.87655e+06	35257.7	9.67444e+06	206666	9.16599	91.7302	6.7698	199.568	3.15765	26.025	74.8954	4.95219	13166.6	1.29934	5.13082	110.172	843839	6.954	4541.78	774.677	3839.41	335.306	45232.2	3188.95	68599.3	67149.6	16485	2.23812	864.564	381.721	7.1939	175.32	9.9404	275.546	8.59704	125.497	311.635	174.204	56522.3	9.94515e+06	100913	23680.4
8	4962	22.9228	915.539	127.576	12629.9	7.14644	60.4814	6389.95	0.00147395	612.065	63.7289	80000.9	148029	7585.5	1.77382e+08	17.2828	443.349	60.652	431.507	6.32202	54.3348	1274.87	71.2391	19291.2	452.591	1048.46	6.57076	81.004	206.599	4101.08	59.8719	15.7612	157.488	10.1384	269.2	3.90772	122.871	40194.8	2497.87	56954.5	39707	5.4322	56465.5	39989.6	1.41771	5.59788	1.61567e+07	120.493	4.45406e+06	40.0527	37293.1	6838.93	6569.25	21813.3	26006.1	5381.88	782079	452795	9.63284e+06	35803	9.5821e+06	289732	9.42702	94.3776	6.87089	200.206	2.95367	26.3074	71.047	4.69911	13594.3	1.20957	4.77328	102.783	853014	6.54229	3288.69	603.024	4175.46	474.598	63837.6	3259.02	69129.1	68727.7	23639	2.53532	1115.05	383.265	6.26719	175.608	9.11782	246.443	5.3463	112.552	282.869	162.182	40581.8	9.70197e+06	100915	23498.1
9	4962	22.7183	902.872	123.809	12254.2	6.66699	59.8104	6614.41	0.00143067	624.248	66.0038	80030.3	190203	7627.63	1.73352e+08	18.8995	457.265	62.0337	440.285	6.18093	56.6822	1275.83	69.8598	19292.8	444.546	1005.29	6.18774	75.7931	201.769	4104.62	59.6375	15.4038	153.923	9.91921	263.446	3.66542	119.524	40226.2	2499.62	56951	39724.3	5.08185	56131.9	39990.2	1.31006	5.17109	1.6204e+07	111.656	4.41412e+06	36.6747	27856.4	5378.68	6920.87	22788.5	47009.8	7267.15	1.03445e+06	447361	9.34178e+06	36487.4	9.47052e+06	390926	9.68366	96.946	7.00872	202.978	2.86074	27.0388	68.9312	4.56028	13995.6	1.16332	4.58938	99.1308	859654	6.34037	2466	476.123	4435.87	643.326	86045.3	3293.98	68641.1	69560.1	32506	2.81143	1375.4	379.846	5.69019	173.281	8.69502	232.513	3.98394	105.928	266.036	154.366	30322.4	9.41042e+06	100915	23307
10	4962	22.5258	890.878	120.288	11903.2	6.26657	58.8469	6803.47	0.00139621	634.157	67.9164	80053.6	236043	7666.34	1.69502e+08	20.431	469.402	63.1176	446.825	6.09031	58.7158	1276.76	68.5038	19293.6	436.49	976.507	5.90141	71.9742	196.964	4108.16	59.5751	15.0632	150.519	9.71143	258.039	3.48685	116.376	40253.3	2501.14	56941.6	39735.7	4.82509	55797.5	39990.6	1.23461	4.87224	1.62569e+07	105.561	4.36652e+06	34.1869	21889.8	4383.97	7184	23409.4	76881.1	9339.75	1.29926e+06	441532	9.02874e+06	37265	9.34837e+06	501988	9.9149	99.2576	7.1461	206.17	2.81764	27.9011	67.7287	4.48173	14378.4	1.13762	4.4873	97.2522	864662	6.23608	1944.49	389.397	4633.25	829.652	109759	3313.18	67617.7	69985.8	42393.9	3.07	1644	374.367	5.30478	169.89	8.42634	224.421	3.36854	101.767	254.968	149.01	23834.3	9.09635e+06	100915	23108.3
11	4962	22.3442	879.508	116.992	11574.6	5.92727	57.7978	6962.56	0.00136581	642.35	69.5255	80074.2	285359	7703.88	1.6587e+08	21.8839	479.93	63.9945	451.909	6.03118	60.5477	1277.66	67.2082	19294.2	428.731	956.468	5.67753	69.0368	192.341	4111.68	59.539	14.7416	147.304	9.51578	252.963	3.34794	113.417	40278.6	2502.56	56930	39743.7	4.62762	55466.2	39990.9	1.17831	4.64944	1.63135e+07	101.093	4.3139e+06	32.2331	18053	3714.27	7385.5	23782.2	114181	11440.2	1.55457e+06	435695	8.71782e+06	38082	9.22436e+06	614368	10.1173	101.28	7.27104	209.197	2.79783	28.7774	67.0244	4.43606	14746.4	1.12285	4.42865	96.3205	868591	6.18287	1613.7	331.956	4786.09	1022.6	133336	3340.14	66674.9	70517.3	52677.3	3.31382	1919.55	368.208	5.03064	166.164	8.22126	218.679	3.05772	98.6237	247.209	145.125	19666.7	8.7845e+06	100916	22902.8
12	4962	22.1724	868.718	113.903	11266.6	5.63545	56.7506	7095.22	0.00133785	649.118	70.8677	80093.2	337975	7740.91	1.62453e+08	23.2636	488.999	64.7119	455.932	5.99037	62.2319	1278.53	65.9812	19294.7	421.351	941.855	5.49462	66.6683	187.945	4115.15	59.5098	14.4387	144.276	9.33168	248.191	3.23457	110.634	40302.9	2503.92	56917.8	39749.7	4.46843	55140	39991.1	1.1341	4.47459	1.63725e+07	97.6488	4.25799e+06	30.6206	15490.6	3255.15	7547.68	23993.3	156588	13462.9	1.78836e+06	430079	8.42364e+06	38898.8	9.10419e+06	722452	10.2914	103.021	7.38023	211.871	2.78884	29.6248	66.588	4.40806	15102	1.11399	4.39348	95.904	871778	6.15646	1399.12	293.935	4909.92	1215.95	155996	3388.07	66162.5	71467.1	62994.7	3.54505	2200.93	361.976	4.82389	162.421	8.04602	213.978	2.87691	95.9544	241.446	142.133	16889.7	8.48981e+06	100916	22691.8
13	4962	22.0098	858.469	111.003	10977.4	5.38105	55.7393	7204.26	0.00131171	654.659	71.9718	80110.9	393726	7777.62	1.59238e+08	24.5752	496.741	65.2968	459.102	5.95948	63.7946	1279.38	64.8217	19295	414.357	930.713	5.33962	64.6809	183.778	4118.56	59.4832	14.1535	141.425	9.1583	243.697	3.13848	108.011	40326.4	2505.24	56905.5	39754.4	4.33488	54819.9	39991.3	1.0978	4.3311	1.64332e+07	94.8712	4.19991e+06	29.2355	13698.7	2929.87	7685.57	24100.9	202043	15361.8	1.99735e+06	424771	8.15155e+06	39694.9	8.99031e+06	823842	10.4392	104.498	7.47341	214.149	2.78449	30.4282	66.2888	4.3891	15446.7	1.10823	4.37066	95.7607	874425	6.14318	1255.21	268.379	5015.31	1407.58	177590	3460.29	66170.2	72928.9	73219.7	3.76538	2487.14	355.915	4.65959	158.791	7.88765	209.814	2.75537	93.5485	236.918	139.694	14953.9	8.21772e+06	100916	22476
14	4962	21.8555	848.723	108.277	10705.5	5.15665	54.7752	7292.1	0.00128712	659.127	72.8624	80127.6	452458	7814.07	1.56211e+08	25.8232	503.276	65.7664	461.547	5.93345	65.2493	1280.2	63.7259	19295.3	407.733	921.889	5.2046	62.9616	179.83	4121.89	59.458	13.8847	138.737	8.99478	239.457	3.05471	105.537	40349.3	2506.53	56893.4	39758.2	4.21936	54506.4	39991.4	1.0669	4.20902	1.6495e+07	92.5465	4.14036e+06	28.0094	12386.4	2690.69	7808.56	24141	249166	17130.3	2.18296e+06	419773	7.90139e+06	40463.8	8.8831e+06	918216	10.5629	105.734	7.55141	216.037	2.78168	31.1828	66.0533	4.37431	15781.5	1.10399	4.35391	95.7528	876654	6.13527	1155.11	250.831	5108.89	1597.47	198246	3554.65	66645.7	74868.1	83349.8	3.97615	2777.28	350.112	4.52323	155.32	7.74087	205.988	2.66345	91.3207	233.178	137.609	13541.5	7.96804e+06	100916	22256.4
15	4962	21.7089	839.447	105.711	10449.6	4.95669	53.8605	7360.92	0.00126391	662.651	73.5613	80143.3	514028	7850.27	1.53356e+08	27.0119	508.716	66.1335	463.353	5.90935	66.6037	1281	62.6893	19295.5	401.453	914.692	5.08459	61.4411	176.089	4125.16	59.4338	13.631	136.201	8.84034	235.45	2.98022	103.199	40371.7	2507.79	56881.7	39761.6	4.1172	54199.8	39991.6	1.0399	4.10235	1.65576e+07	90.5452	4.07983e+06	26.901	11384.4	2508.44	7922.37	24136	297197	18779.9	2.34837e+06	415050	7.67072e+06	41206.3	8.78195e+06	1.00622e+06	10.6646	106.75	7.61538	217.561	2.77883	31.888	65.8408	4.361	16107	1.10039	4.3397	95.8026	878534	6.12837	1082.92	238.514	5194.71	1786.35	218145	3666.98	67486.9	77199	93425.3	4.17844	3070.55	344.59	4.40618	152.018	7.60331	202.413	2.58807	89.2329	229.96	135.76	12467.4	7.73821e+06	100916	22033.8
16	4962	21.5695	830.609	103.291	10208.2	4.77696	52.9936	7412.67	0.00124196	665.344	74.0885	80158.2	578303	7886.21	1.5066e+08	28.1451	513.163	66.4083	464.587	5.88554	67.8634	1281.77	61.7075	19295.7	395.493	908.694	4.97641	60.0754	172.54	4128.36	59.4102	13.3912	133.803	8.69425	231.656	2.91307	100.986	40393.6	2509.01	56870.2	39764.5	4.02545	53900	39991.7	1.01584	4.00733	1.66208e+07	88.787	4.01864e+06	25.8842	10591.2	2365.08	8030.57	24099.4	345795	20328.5	2.49694e+06	410559	7.4565e+06	41926.9	8.68591e+06	1.08884e+06	10.7463	107.566	7.66653	218.749	2.7752	32.5448	65.6293	4.34773	16423.7	1.09694	4.32611	95.8668	880108	6.12012	1029.03	229.692	5275.26	1975.06	237446	3792.78	68587.1	79826.5	103492	4.37315	3366.22	339.343	4.30321	148.882	7.47367	199.047	2.52312	87.2651	227.104	134.078	11620.2	7.52509e+06	100916	21808.8
17	4962	21.4367	822.178	101.006	9980.29	4.61419	52.1716	7449.15	0.00122115	667.299	74.4618	80172.3	645157	7921.91	1.48111e+08	29.2265	516.708	66.6	465.306	5.86117	69.0329	1282.53	60.7761	19295.9	389.828	903.625	4.87792	58.835	169.167	4131.49	59.3872	13.1641	131.534	8.55583	228.06	2.85193	98.8894	40415	2510.21	56859	39767.2	3.94211	53607	39991.8	0.994109	3.92154	1.66844e+07	87.22	3.95701e+06	24.9419	9943.74	2249.15	8135.38	24040.1	394871	21794.7	2.63165e+06	406255	7.25586e+06	42631	8.59407e+06	1.16705e+06	10.8099	108.201	7.70601	219.633	2.77044	33.1548	65.4075	4.33374	16732.3	1.09339	4.31212	95.9225	881400	6.10928	987.464	223.257	5352.08	2164.27	256264	3928.01	69852.6	82663.1	113589	4.56102	3663.65	334.358	4.21102	145.903	7.35114	195.865	2.46548	85.4045	224.515	132.518	10931.2	7.32571e+06	100917	21582
18	4962	21.31	814.127	98.8446	9764.73	4.46581	51.3914	7471.97	0.00120141	668.602	74.6976	80185.7	714474	7957.34	1.45695e+08	30.2593	519.438	66.7164	465.561	5.83583	70.1162	1283.26	59.8911	19296	384.435	899.305	4.78757	57.6996	165.959	4134.57	59.3648	12.9488	129.382	8.42448	224.645	2.79587	96.8994	40435.9	2511.39	56848.1	39769.7	3.86583	53320.6	39991.9	0.9743	3.84333	1.67484e+07	85.8092	3.89512e+06	24.0624	9401.63	2153.19	8238.28	23963.9	444466	23194.8	2.75493e+06	402100	7.06633e+06	43323.7	8.50555e+06	1.24174e+06	10.8572	108.673	7.73491	220.239	2.76444	33.7196	65.1703	4.31869	17032.9	1.08961	4.29725	95.9576	882425	6.09527	954.396	218.485	5426.19	2354.54	274673	4069.2	71206	85634.2	123745	4.74266	3962.27	329.617	4.12744	143.071	7.23506	192.85	2.41344	83.6416	222.129	131.054	10356	7.13754e+06	100917	21354.1
19	4962	21.189	806.429	96.7977	9560.55	4.32977	50.6499	7482.61	0.00118264	669.326	74.8107	80198.4	786144	7992.51	1.43404e+08	31.2463	521.431	66.765	465.398	5.80933	71.1173	1283.97	59.049	19296.1	379.293	895.607	4.70423	56.6539	162.902	4137.59	59.3428	12.7444	127.338	8.29964	221.396	2.74418	95.0077	40456.5	2512.54	56837.5	39772	3.79557	53040.6	39991.9	0.956112	3.77153	1.68126e+07	84.5297	3.83308e+06	23.237	8938	2072.16	8340.26	23874.5	494690	24542.8	2.86873e+06	398063	6.88592e+06	44010.1	8.41967e+06	1.31366e+06	10.8896	108.996	7.75424	220.595	2.75719	34.2413	64.9155	4.30246	17326	1.08555	4.28126	95.9667	883192	6.07785	927.309	214.894	5498.21	2546.23	292721	4213.5	72585.9	88677.7	133980	4.91863	4261.55	325.101	4.05099	140.376	7.1249	189.986	2.36593	81.9683	219.906	129.667	9865.31	6.9585e+06	100917	21125.5
20	4962	21.0733	799.06	94.856	9366.84	4.20442	49.944	7482.38	0.00116476	669.535	74.8144	80210.5	860063	8027.41	1.41226e+08	32.1904	522.757	66.7523	464.858	5.78163	72.0401	1284.66	58.2463	19296.2	374.381	892.437	4.62699	55.6862	159.984	4140.55	59.3213	12.5499	125.394	8.18079	218.301	2.6963	93.2068	40476.6	2513.67	56827	39774.2	3.73055	52767	39992	0.939322	3.70525	1.6877e+07	83.3629	3.77101e+06	22.4591	8534.46	2002.59	8442.01	23774.7	545681	25850.4	2.97459e+06	394116	6.71298e+06	44694.3	8.33582e+06	1.38343e+06	10.9087	109.187	7.76493	220.726	2.74876	34.7219	64.6431	4.28501	17612	1.08119	4.2641	95.9477	883703	6.05698	904.505	212.153	5568.58	2739.64	310432	4358.57	73943.5	91742.9	144310	5.08936	4561.03	320.794	3.9806	137.807	7.02018	187.262	2.32222	80.3775	217.817	128.345	9438.96	6.78693e+06	100917	20896.6
21	4962	20.9625	791.998	93.0111	9182.79	4.08841	49.271	7472.51	0.00114772	669.289	74.7211	80222	936134	8062.04	1.39153e+08	33.0938	523.482	66.6844	463.979	5.75278	72.8883	1285.34	57.4799	19296.3	369.683	889.722	4.55513	54.7869	157.197	4143.46	59.3002	12.3645	123.541	8.06744	215.347	2.65178	91.4898	40496.4	2514.77	56816.9	39776.2	3.67013	52499.4	39992.1	0.923751	3.64379	1.69415e+07	82.294	3.70898e+06	21.7234	8178.04	1942.02	8544	23666.4	597588	27127.2	3.07369e+06	390238	6.54624e+06	45380.3	8.25352e+06	1.45156e+06	10.9158	109.257	7.76782	220.652	2.73922	35.1632	64.3535	4.26641	17891	1.07654	4.24579	95.9004	883962	6.03272	884.814	210.032	5637.57	2934.94	327817	4502.48	75241	94788.2	154745	5.25527	4860.31	316.68	3.91544	135.355	6.92046	184.666	2.2818	78.8628	215.84	127.077	9062.86	6.62148e+06	100917	20668
22	4962	20.8562	785.221	91.2556	9007.64	3.98063	48.6283	7454.08	0.00113143	668.637	74.5415	80233.1	1.01427e+06	8096.38	1.37176e+08	33.9589	523.665	66.5669	462.795	5.72283	73.6657	1286	56.747	19296.3	365.181	887.405	4.48803	53.9483	154.529	4146.33	59.2796	12.1876	121.773	7.95918	212.523	2.61025	89.8502	40515.8	2515.86	56806.9	39778.2	3.61378	52237.7	39992.2	0.909256	3.58658	1.70061e+07	81.3112	3.64706e+06	21.0255	7859.37	1888.67	8646.62	23551	650556	28381	3.16696e+06	386411	6.38466e+06	46071.4	8.17239e+06	1.51847e+06	10.9122	109.219	7.76367	220.394	2.72867	35.5672	64.048	4.24672	18163.3	1.07162	4.22638	95.8257	883970	6.00518	867.413	208.367	5705.39	3132.25	344878	4643.67	76448.7	97779.5	165290	5.41671	5159.02	312.742	3.85485	133.011	6.82535	182.188	2.24425	77.4183	213.961	125.857	8726.78	6.46111e+06	100918	20439.9
23	4962	20.7542	778.709	89.5824	8840.7	3.88013	48.0136	7428.08	0.00111585	667.625	74.2858	80243.6	1.09437e+06	8130.45	1.35287e+08	34.7878	523.362	66.4047	461.338	5.69187	74.3758	1286.65	56.0449	19296.4	360.86	885.437	4.42516	53.1635	151.972	4149.15	59.2593	12.0184	120.082	7.85559	209.82	2.57137	88.2823	40534.9	2516.93	56797.1	39780	3.56104	51981.8	39992.3	0.895715	3.53313	1.70707e+07	80.4044	3.5853e+06	20.3616	7571.49	1841.19	8750.13	23429.5	704728	29618.3	3.25512e+06	382621	6.22742e+06	46770.6	8.09209e+06	1.5845e+06	10.8988	109.084	7.75322	219.972	2.7172	35.9359	63.7277	4.22604	18429.3	1.06643	4.20597	95.7248	883725	5.97451	851.712	207.04	5772.15	3331.67	361608	4780.84	77543.6	100689	175950	5.57398	5456.83	308.968	3.79832	130.767	6.73449	179.819	2.20923	76.0388	212.167	124.678	8423.21	6.30496e+06	100918	20212.6
24	4962	20.6562	772.445	87.9854	8681.34	3.78613	47.4246	7395.41	0.00110091	666.295	73.9629	80253.8	1.17637e+06	8164.23	1.33481e+08	35.5823	522.621	66.2027	459.637	5.65999	75.0222	1287.28	55.3711	19296.4	356.705	883.777	4.36608	52.4269	149.517	4151.93	59.2393	11.8564	118.463	7.75632	207.227	2.53487	86.7807	40553.7	2517.98	56787.5	39781.8	3.51155	51731.4	39992.3	0.883024	3.48305	1.71354e+07	79.5651	3.52375e+06	19.7284	7309.19	1798.59	8854.74	23302.8	760239	30844.4	3.33875e+06	378856	6.07384e+06	47480.6	8.01235e+06	1.64995e+06	10.8767	108.863	7.73709	219.402	2.70489	36.2711	63.394	4.20443	18689.2	1.06102	4.18463	95.5993	883229	5.94085	837.286	205.962	5837.93	3533.24	377997	4912.89	78507.9	103492	186727	5.72736	5753.47	305.345	3.74537	128.617	6.64754	177.55	2.17647	74.7193	210.445	123.537	8146.48	6.15235e+06	100918	19986.5
