Time	[MAPK phosphatase]	[MEK phosphatase]	[RAF kinase]	[RAF phosphatase]	[MAPK]	[MAPK-P]	[MAPK-PP]	[MEK]	[MEK-P]	[MEK-PP]	[RAF]	[RAF-P]	[MAPK_MEK-PP]	[MAPK-P_MEK-PP]	[MEK_RAF-P]	[MEK-P_RAF-P]	[MAPK-P_MAPKPase]	[MAPK-PP_MAPKPase]	[MEK-P_MEKPase]	[MEK-PP_MEKPase]	[RAF_RAFK]	[RAF-P_RAFPase]	[Scaffold]	[Scaffold_RAF]	[Scaffold_RAF-P]	[Scaffold_MEK]	[Scaffold_MEK_RAF]	[Scaffold_MEK_RAF-P]	[Scaffold_MEK-P]	[Scaffold_MEK-P_RAF]	[Scaffold_MEK-P_RAF-P]	[Scaffold_MEK-PP]	[Scaffold_MEK-PP_RAF]	[Scaffold_MEK-PP_RAF-P]	[Scaffold_MAPK]	[Scaffold_MAPK_RAF]	[Scaffold_MAPK_RAF-P]	[Scaffold_MAPK_MEK]	[Scaffold_MAPK_MEK_RAF]	[Scaffold_MAPK_MEK_RAF-P]	[Scaffold_MAPK_MEK-P]	[Scaffold_MAPK_MEK-P_RAF]	[Scaffold_MAPK_MEK-P_RAF-P]	[Scaffold_MAPK_MEK-PP]	[Scaffold_MAPK_MEK-PP_RAF]	[Scaffold_MAPK_MEK-PP_RAF-P]	[Scaffold_MAPK-P]	[Scaffold_MAPK-P_RAF]	[Scaffold_MAPK-P_RAF-P]	[Scaffold_MAPK-P_MEK]	[Scaffold_MAPK-P_MEK_RAF]	[Scaffold_MAPK-P_MEK_RAF-P]	[Scaffold_MAPK-P_MEK-P]	[Scaffold_MAPK-P_MEK-P_RAF]	[Scaffold_MAPK-P_MEK-P_RAF-P]	[Scaffold_MAPK-P_MEK-PP]	[Scaffold_MAPK-P_MEK-PP_RAF]	[Scaffold_MAPK-P_MEK-PP_RAF-P]	[Scaffold_MAPK-PP]	[Scaffold_MAPK-PP_RAF]	[Scaffold_MAPK-PP_RAF-P]	[Scaffold_MAPK-PP_MEK]	[Scaffold_MAPK-PP_MEK_RAF]	[Scaffold_MAPK-PP_MEK_RAF-P]	[Scaffold_MAPK-PP_MEK-P]	[Scaffold_MAPK-PP_MEK-P_RAF]	[Scaffold_MAPK-PP_MEK-P_RAF-P]	[Scaffold_MAPK-PP_MEK-PP]	[Scaffold_MAPK-PP_MEK-PP_RAF]	[Scaffold_MAPK-PP_MEK-PP_RAF-P]	[Scaffold_RAF]	[Scaffold_MEK_RAF]	[Scaffold_MEK-P_RAF]	[Scaffold_MEK-PP_RAF]	[Scaffold_MAPK_RAF]	[Scaffold_MAPK_MEK_RAF]	[Scaffold_MAPK_MEK-P_RAF]	[Scaffold_MAPK_MEK-PP_RAF]	[Scaffold_MAPK-P_RAF]	[Scaffold_MAPK-P_MEK_RAF]	[Scaffold_MAPK-P_MEK-P_RAF]	[Scaffold_MAPK-P_MEK-PP_RAF]	[Scaffold_MAPK-PP_RAF]	[Scaffold_MAPK-PP_MEK_RAF]	[Scaffold_MAPK-PP_MEK-P_RAF]	[Scaffold_MAPK-PP_MEK-PP_RAF]
0	0.3	0.2	0.1	0.3	0.4	0	0	0.2	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.3	0.199999	0.0215013	0.299969	0.332619	2.36785e-10	1.98349e-12	0.152357	2.95671e-06	6.71642e-09	0.203644	0.000595268	6.8775e-09	2.42099e-18	0.00010956	9.54886e-10	4.35426e-11	3.24159e-13	1.16497e-06	2.0102e-09	0.00862072	3.13285e-05	0.000630957	0.000616647	0.000527155	0.00127823	0.00125214	0.000492048	1.05483e-07	2.74101e-08	1.31664e-05	1.94012e-09	4.42053e-10	2.8443e-07	0.00366155	0.00358626	0.00146696	0.00742986	0.00728449	0.00182197	4.99429e-07	1.35204e-07	5.80961e-05	9.51255e-09	2.2154e-09	1.34793e-06	1.90758e-12	6.18437e-13	1.4817e-10	4.03934e-13	1.433e-13	2.76585e-11	1.35243e-15	2.08308e-16	3.13534e-13	2.54499e-10	7.35584e-11	2.36159e-08	2.79207e-14	9.91813e-15	1.91974e-12	4.97777e-15	1.88214e-15	3.14904e-13	1.24731e-17	1.77294e-18	3.17032e-15	4.59285e-12	1.51209e-12	3.50053e-10	0.000616647	0.00125214	2.74101e-08	4.42053e-10	0.00358626	0.00728449	1.35204e-07	2.2154e-09	6.18437e-13	1.433e-13	2.08308e-16	7.35584e-11	9.91813e-15	1.88214e-15	1.77294e-18	1.51209e-12
2	0.3	0.199982	0.0142008	0.299868	0.330521	1.70171e-08	2.88814e-10	0.148462	2.46363e-05	1.46705e-07	0.194195	0.001363	2.98822e-07	8.06672e-15	0.000454956	3.70467e-08	6.54638e-09	9.84205e-11	1.79442e-05	8.56542e-08	0.00771973	0.000131815	0.00013621	0.000225502	0.000770858	0.000375253	0.000634085	0.00111996	9.9659e-07	4.84215e-07	6.88598e-05	4.15925e-08	1.75167e-08	3.38391e-06	0.000884233	0.00148386	0.00316964	0.00246106	0.00417888	0.00595652	6.27166e-06	3.09815e-06	0.000419012	2.60971e-07	1.10366e-07	2.10755e-05	1.98554e-10	1.15052e-10	9.59342e-09	8.26174e-11	5.21323e-11	3.581e-09	7.12496e-13	2.06765e-13	8.77218e-11	1.45191e-08	7.60317e-09	8.05272e-07	6.25207e-12	3.95357e-12	2.73326e-10	2.19257e-12	1.46771e-12	8.93087e-11	1.42906e-14	3.82292e-15	1.9239e-12	5.55339e-10	3.29366e-10	2.61636e-08	0.000225502	0.000634085	4.84215e-07	1.75167e-08	0.00148386	0.00417888	3.09815e-06	1.10366e-07	1.15052e-10	5.21323e-11	2.06765e-13	7.60317e-09	3.95357e-12	1.46771e-12	3.82292e-15	3.29366e-10
3	0.3	0.199924	0.0161944	0.299724	0.328879	1.60299e-07	4.06809e-09	0.145505	7.59295e-05	7.4797e-07	0.191426	0.00218461	2.17201e-06	5.86424e-13	0.000950482	2.6389e-07	9.27636e-08	2.08922e-09	7.50654e-05	6.10953e-07	0.00695067	0.000275935	6.32079e-05	9.51574e-05	0.000964257	0.000172704	0.000272767	0.00170667	3.26102e-06	1.96116e-06	0.000170486	2.18425e-07	1.14873e-07	1.34249e-05	0.000402557	0.000622665	0.00459576	0.00112293	0.00179097	0.00992952	2.11707e-05	1.28153e-05	0.00108913	1.39003e-06	7.30333e-07	8.553e-05	2.1551e-09	1.49439e-09	8.44589e-08	1.28249e-09	9.56399e-10	4.55931e-08	1.96808e-11	7.53556e-12	1.74627e-09	1.1514e-07	7.33671e-08	5.05723e-06	1.05397e-10	7.87006e-11	3.79607e-09	5.32403e-11	4.16755e-11	1.79839e-09	6.24312e-13	2.21861e-13	6.02816e-11	6.75657e-09	4.7965e-09	2.58065e-07	9.51574e-05	0.000272767	1.96116e-06	1.14873e-07	0.000622665	0.00179097	1.28153e-05	7.30333e-07	1.49439e-09	9.56399e-10	7.53556e-12	7.33671e-08	7.87006e-11	4.16755e-11	2.21861e-13	4.7965e-09
4	0.299999	0.199806	0.0203398	0.299545	0.327394	7.02958e-07	2.35062e-08	0.142518	0.000161388	2.22027e-06	0.189024	0.00313903	8.05683e-06	1.007e-11	0.00156042	1.01017e-06	5.34284e-07	1.59272e-08	0.000191359	2.22985e-06	0.0069631	0.000455172	4.09747e-05	4.12276e-05	0.0011313	0.000106251	0.000114089	0.00220275	6.78966e-06	4.10342e-06	0.000305012	6.33367e-07	3.42003e-07	3.31568e-05	0.000256071	0.000266844	0.00582436	0.000683526	0.00074346	0.0132653	4.42323e-05	2.68153e-05	0.00196917	4.01358e-06	2.16266e-06	0.000210873	1.00033e-08	6.78524e-09	3.52918e-07	7.43509e-09	5.33904e-09	2.40597e-07	1.74377e-10	7.32723e-11	1.259e-08	4.33101e-07	2.74728e-07	1.68178e-05	6.62761e-10	4.75554e-10	2.18226e-08	4.22028e-10	3.13932e-10	1.31168e-08	7.66643e-12	3.0227e-12	5.99061e-10	3.4149e-08	2.36089e-08	1.1779e-06	4.12276e-05	0.000114089	4.10342e-06	3.42003e-07	0.000266844	0.00074346	2.68153e-05	2.16266e-06	6.78524e-09	5.33904e-09	7.32723e-11	2.74728e-07	4.75554e-10	3.13932e-10	3.0227e-12	2.36089e-08
5	0.299998	0.199616	0.0247311	0.299329	0.326046	2.07568e-06	8.52564e-08	0.139461	0.000283297	4.97729e-06	0.186218	0.00426071	2.10751e-05	8.16303e-11	0.00228045	2.81625e-06	1.92434e-06	7.08697e-08	0.000378422	5.75247e-06	0.00757884	0.000671007	3.56916e-05	2.4154e-05	0.00127308	8.91956e-05	6.39438e-05	0.0025999	1.11388e-05	6.20527e-06	0.000458019	1.34185e-06	6.83368e-07	6.35097e-05	0.000221513	0.000154762	0.00686578	0.000570553	0.000413749	0.0159189	7.24617e-05	4.04367e-05	0.0029626	8.45123e-06	4.29418e-06	0.000401795	2.99931e-08	1.83348e-08	1.00359e-06	2.58868e-08	1.65154e-08	8.03168e-07	8.51595e-10	3.58148e-10	5.3315e-08	1.10656e-06	6.42527e-07	4.01438e-05	2.49991e-09	1.58986e-09	7.9242e-08	1.8667e-09	1.21904e-09	5.62087e-08	4.82591e-11	1.92598e-11	3.25143e-09	1.09149e-07	6.76292e-08	3.58817e-06	2.4154e-05	6.39438e-05	6.20527e-06	6.83368e-07	0.000154762	0.000413749	4.04367e-05	4.29418e-06	1.83348e-08	1.65154e-08	3.58148e-10	6.42527e-07	1.58986e-09	1.21904e-09	1.92598e-11	6.76292e-08
6	0.299995	0.199345	0.0286306	0.299074	0.324812	4.82651e-06	2.32982e-07	0.136322	0.000442576	9.40331e-06	0.182982	0.00555101	4.45888e-05	4.19211e-10	0.00310897	6.45888e-06	5.21056e-06	2.26899e-07	0.000642628	1.20253e-05	0.00850065	0.00092582	3.69378e-05	1.99303e-05	0.0013917	9.05991e-05	5.11164e-05	0.00290714	1.59248e-05	8.03738e-06	0.000617905	2.35929e-06	1.10873e-06	0.000104096	0.00022967	0.000127102	0.00773801	0.000578585	0.000329338	0.0179606	0.000103326	5.2205e-05	0.00399349	1.47684e-05	6.92509e-06	0.000654758	6.96328e-08	3.78817e-08	2.26039e-06	6.6829e-08	3.75465e-08	2.02964e-06	2.896e-09	1.17539e-09	1.63091e-07	2.2502e-06	1.17673e-06	7.82526e-05	6.98468e-09	3.90422e-09	2.17475e-07	5.85422e-09	3.33812e-09	1.74012e-07	2.01969e-10	7.8525e-11	1.21746e-08	2.66102e-07	1.46054e-07	8.52792e-06	1.99303e-05	5.11164e-05	8.03738e-06	1.10873e-06	0.000127102	0.000329338	5.2205e-05	6.92509e-06	3.78817e-08	3.75465e-08	1.17539e-09	1.17673e-06	3.90422e-09	3.33812e-09	7.8525e-11	1.46054e-07
7	0.299988	0.198992	0.0319265	0.29878	0.323676	9.57673e-06	5.2707e-07	0.133101	0.000638985	1.58392e-05	0.179434	0.00699549	8.18826e-05	1.58711e-09	0.00403723	1.29395e-05	1.16654e-05	5.82766e-07	0.000986478	2.18524e-05	0.00949602	0.00121986	4.01798e-05	1.90739e-05	0.00149072	9.70845e-05	4.77714e-05	0.0031385	2.09085e-05	9.62854e-06	0.000776287	3.67867e-06	1.59823e-06	0.000153718	0.00025068	0.000121424	0.00846744	0.000619536	0.00030696	0.0194903	0.00013527	6.23373e-05	0.00500787	2.28922e-05	9.92516e-06	0.000961346	1.3733e-07	6.72603e-08	4.35787e-06	1.42494e-07	7.15737e-08	4.2581e-06	7.7425e-09	2.99862e-09	4.01045e-07	3.95199e-06	1.87615e-06	0.000133149	1.61042e-08	8.03752e-09	4.94742e-07	1.47184e-08	7.46341e-09	4.33049e-07	6.43387e-10	2.40436e-10	3.55005e-08	5.45039e-07	2.68441e-07	1.71452e-05	1.90739e-05	4.77714e-05	9.62854e-06	1.59823e-06	0.000121424	0.00030696	6.23373e-05	9.92516e-06	6.72603e-08	7.15737e-08	2.99862e-09	1.87615e-06	8.03752e-09	7.46341e-09	2.40436e-10	2.68441e-07
8	0.299976	0.198555	0.034715	0.298449	0.322617	1.69821e-05	1.04223e-06	0.129804	0.000871244	2.4577e-05	0.175693	0.00857503	0.000135971	4.83634e-09	0.00504931	2.34389e-05	2.28192e-05	1.2791e-06	0.00140934	3.59497e-05	0.0104325	0.00155116	4.38037e-05	1.89649e-05	0.00157375	0.000104036	4.6414e-05	0.00330773	2.5933e-05	1.10124e-05	0.000927551	5.27923e-06	2.13474e-06	0.000210768	0.000273993	0.000120581	0.00908019	0.000663261	0.000297549	0.0206036	0.000167286	7.10736e-05	0.00597023	3.2668e-05	1.31841e-05	0.00131084	2.42033e-07	1.0823e-07	7.52194e-06	2.66163e-07	1.21511e-07	7.82439e-06	1.74562e-08	6.43511e-09	8.43651e-07	6.27141e-06	2.73391e-06	0.000205592	3.24988e-08	1.4731e-08	9.84358e-07	3.17222e-08	1.45738e-08	9.21878e-07	1.68762e-09	6.03611e-10	8.65208e-08	9.89022e-07	4.43753e-07	3.057e-05	1.89649e-05	4.6414e-05	1.10124e-05	2.13474e-06	0.000120581	0.000297549	7.10736e-05	1.31841e-05	1.0823e-07	1.21511e-07	6.43511e-09	2.73391e-06	1.4731e-08	1.45738e-08	6.03611e-10	4.43753e-07
9	0.299957	0.198037	0.0371068	0.298084	0.321622	2.77018e-05	1.86381e-06	0.126446	0.00113721	3.586e-05	0.171846	0.0102711	0.000209495	1.25356e-08	0.00612521	3.92532e-05	4.03781e-05	2.4965e-06	0.00190799	5.49235e-05	0.0112509	0.00191643	4.73648e-05	1.89959e-05	0.00164399	0.00011025	4.53672e-05	0.00342669	3.08862e-05	1.2203e-05	0.00106821	7.13167e-06	2.7013e-06	0.000273509	0.000296733	0.000120624	0.00959874	0.000701981	0.000290184	0.0213813	0.000198666	7.85214e-05	0.00685901	4.38928e-05	1.65949e-05	0.00169199	3.92801e-07	1.62215e-07	1.19566e-05	4.51015e-07	1.89577e-07	1.3025e-05	3.46792e-08	1.21723e-08	1.57912e-06	9.2388e-06	3.73436e-06	0.000295251	5.944e-08	2.47962e-08	1.77182e-06	6.09953e-08	2.57511e-08	1.74605e-06	3.82964e-09	1.3097e-09	1.84317e-07	1.64103e-06	6.78933e-07	4.98117e-05	1.89959e-05	4.53672e-05	1.2203e-05	2.7013e-06	0.000120624	0.000290184	7.85214e-05	1.65949e-05	1.62215e-07	1.89577e-07	1.21723e-08	3.73436e-06	2.47962e-08	2.57511e-08	1.3097e-09	6.78933e-07
10	0.299929	0.197444	0.0391856	0.297688	0.320674	4.23759e-05	3.08356e-06	0.123045	0.00143409	4.98864e-05	0.167948	0.0120675	0.000304686	2.86766e-08	0.00724385	6.1725e-05	6.61431e-05	4.44965e-06	0.00247709	7.92643e-05	0.0119334	0.00231179	5.07834e-05	1.90389e-05	0.00170403	0.000115552	4.43028e-05	0.00350524	3.56907e-05	1.32117e-05	0.00119634	9.20283e-06	3.28258e-06	0.000340256	0.000318398	0.000120725	0.0100415	0.00073463	0.000282738	0.0218902	0.000228924	8.47662e-05	0.00766267	5.63447e-05	2.00625e-05	0.00209406	5.98507e-07	2.30259e-07	1.78361e-05	7.09181e-07	2.77117e-07	2.00917e-05	6.25065e-08	2.0915e-08	2.70029e-06	1.28587e-05	4.85602e-06	0.000400948	1.00779e-07	3.90747e-08	2.95133e-06	1.07381e-07	4.20933e-08	3.02095e-06	7.77077e-09	2.54183e-09	3.53715e-07	2.54145e-06	9.78475e-07	7.5689e-05	1.90389e-05	4.43028e-05	1.32117e-05	3.28258e-06	0.000120725	0.000282738	8.47662e-05	2.00625e-05	2.30259e-07	2.77117e-07	2.0915e-08	4.85602e-06	3.90747e-08	4.20933e-08	2.54183e-09	9.78475e-07
11	0.299891	0.196781	0.0410109	0.297267	0.31976	6.16094e-05	4.79557e-06	0.119619	0.00175864	6.6814e-05	0.164034	0.0139499	0.000423366	5.94144e-08	0.00838512	9.21785e-05	0.000101938	7.37867e-06	0.00310976	0.000109351	0.0124826	0.00273335	5.40757e-05	1.90724e-05	0.00175602	0.000120028	4.31812e-05	0.00355148	4.02972e-05	1.40526e-05	0.00131111	1.14592e-05	3.86586e-06	0.000409472	0.000339101	0.000120749	0.0104232	0.0007618	0.000274956	0.0221845	0.00025776	8.99077e-05	0.00837668	6.98038e-05	2.35092e-05	0.00250741	8.67659e-07	3.13073e-07	2.53013e-05	1.05111e-06	3.84621e-07	2.91774e-05	1.04323e-07	3.33277e-08	4.29742e-06	1.71152e-05	6.07492e-06	0.00052091	1.60888e-07	5.84106e-08	4.62223e-06	1.76235e-07	6.46429e-08	4.86399e-06	1.44292e-08	4.51824e-09	6.24585e-07	3.72644e-06	1.34451e-06	0.000108792	1.90724e-05	4.31812e-05	1.40526e-05	3.86586e-06	0.000120749	0.000274956	8.99077e-05	2.35092e-05	3.13073e-07	3.84621e-07	3.33277e-08	6.07492e-06	5.84106e-08	6.46429e-08	4.51824e-09	1.34451e-06
12	0.299839	0.196056	0.0426261	0.296823	0.31887	8.59628e-05	7.09252e-06	0.116187	0.00210737	8.67663e-05	0.160127	0.0159061	0.000566973	1.13606e-07	0.00953091	0.000131862	0.000149551	1.15392e-05	0.00379809	0.000145463	0.0129097	0.00317742	5.72775e-05	1.90976e-05	0.00180166	0.00012381	4.20192e-05	0.00357201	4.46784e-05	1.47419e-05	0.00141243	1.38694e-05	4.44111e-06	0.00047982	0.000359078	0.000120704	0.0107558	0.000784361	0.000266942	0.0223081	0.000285008	9.40574e-05	0.00900119	8.40652e-05	2.68749e-05	0.00292381	1.20831e-06	4.11069e-07	3.44587e-05	1.4852e-06	5.11809e-07	4.03536e-05	1.63628e-07	4.99869e-08	6.45183e-06	2.19776e-05	7.36687e-06	0.000653002	2.44595e-07	8.36275e-08	6.88561e-06	2.73212e-07	9.43278e-08	7.38711e-06	2.4934e-08	7.48225e-09	1.03064e-06	5.22701e-06	1.77707e-06	0.000149471	1.90976e-05	4.20192e-05	1.47419e-05	4.44111e-06	0.000120704	0.000266942	9.40574e-05	2.68749e-05	4.11069e-07	5.11809e-07	4.99869e-08	7.36687e-06	8.36275e-08	9.43278e-08	7.48225e-09	1.77707e-06
13	0.299772	0.195279	0.0440639	0.296359	0.317993	0.000115946	1.00626e-05	0.112767	0.00247662	0.000109838	0.156241	0.0179253	0.000736603	2.03316e-07	0.0106656	0.000181899	0.000210689	1.71925e-05	0.00453356	0.00018779	0.0132289	0.00364066	6.04254e-05	1.91193e-05	0.00184235	0.000127022	4.08397e-05	0.00357225	4.88229e-05	1.52965e-05	0.00150073	1.64047e-05	5.00074e-06	0.000550183	0.00037856	0.000120622	0.0110488	0.000803132	0.00025884	0.0222967	0.000310604	9.73286e-05	0.00953942	9.89459e-05	3.01149e-05	0.00333641	1.62804e-06	5.24409e-07	4.53818e-05	2.0177e-06	6.57752e-07	5.36137e-05	2.43868e-07	7.13475e-08	9.23096e-06	2.74055e-05	8.70878e-06	0.000794921	3.57122e-07	1.1551e-07	9.84129e-06	4.04055e-07	1.31919e-07	1.06905e-05	4.06053e-08	1.16903e-08	1.60788e-06	7.06856e-06	2.27434e-06	0.000197845	1.91193e-05	4.08397e-05	1.52965e-05	5.00074e-06	0.000120622	0.00025884	9.73286e-05	3.01149e-05	5.24409e-07	6.57752e-07	7.13475e-08	8.70878e-06	1.1551e-07	1.31919e-07	1.16903e-08	2.27434e-06
14	0.299688	0.194456	0.0453504	0.29588	0.317119	0.000152017	1.3787e-05	0.109374	0.00286274	0.000136097	0.152388	0.0199981	0.000933047	3.44264e-07	0.0117759	0.000243257	0.000286946	2.45957e-05	0.0053074	0.000236448	0.0134546	0.00412002	6.35519e-05	1.9142e-05	0.00187921	0.000129774	3.96615e-05	0.00355658	5.27303e-05	1.57327e-05	0.00157673	1.90404e-05	5.53922e-06	0.000619652	0.000397753	0.000120528	0.01131	0.000818813	0.000250768	0.0221793	0.000334552	9.98302e-05	0.00999649	0.000114287	3.31974e-05	0.00373977	2.1339e-06	6.53034e-07	5.81135e-05	2.65272e-06	8.21004e-07	6.88825e-05	3.48294e-07	9.77222e-08	1.26851e-05	3.33523e-05	1.00794e-05	0.000944339	5.04024e-07	1.54786e-07	1.35853e-05	5.74403e-07	1.78001e-07	1.48579e-05	6.29229e-08	1.7399e-08	2.39291e-06	9.27096e-06	2.83303e-06	0.000253824	1.9142e-05	3.96615e-05	1.57327e-05	5.53922e-06	0.000120528	0.000250768	9.98302e-05	3.31974e-05	6.53034e-07	8.21004e-07	9.77222e-08	1.00794e-05	1.54786e-07	1.78001e-07	1.7399e-08	2.83303e-06
