Time	[Htot]	[H]	[A]	[HOH]	[Atot]	[AOH]	[Ftot]	[Ptot]	[HF]	[HP]	[O2]	[FIHfree]	[CAD]	[NAD]	[CADOH]	[A for plotting]
38	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
39	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
40	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
41	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
42	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
43	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
44	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
45	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
46	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
47	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
48	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
49	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
50	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
51	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
52	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
53	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
54	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
55	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
56	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
57	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
58	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
59	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
60	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
61	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
62	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
63	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
64	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
65	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
66	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
67	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
68	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
69	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
70	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
71	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
72	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
73	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
74	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
75	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
76	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
77	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
78	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
79	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
80	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
81	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
82	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
83	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
84	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
85	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
86	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
87	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
88	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
89	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
90	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
91	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
92	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
93	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
94	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
95	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
96	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
97	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
98	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
99	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
100	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
