Time	[NatP]	[MisP]	[Ub]	[E1]	[E2]	[E3]	[E3_MisP]	[DUB]	[Proteasome]	[ROS]	[E1_Ub]	[E2_Ub]	[E3_MisP_Ub]	[E3_MisP_Ub2]	[E3_MisP_Ub3]	[E3_MisP_Ub4]	[E3_MisP_Ub5]	[E3_MisP_Ub6]	[E3_MisP_Ub7]	[E3_MisP_Ub8]	[MisP_Ub4_Proteasome]	[MisP_Ub5_Proteasome]	[MisP_Ub6_Proteasome]	[MisP_Ub7_Proteasome]	[MisP_Ub8_Proteasome]	[E3_MisP_Ub_DUB]	[E3_MisP_Ub2_DUB]	[E3_MisP_Ub3_DUB]	[E3_MisP_Ub4_DUB]	[E3_MisP_Ub5_DUB]	[E3_MisP_Ub6_DUB]	[E3_MisP_Ub7_DUB]	[E3_MisP_Ub8_DUB]	[AggP1]	[AggP2]	[AggP3]	[AggP4]	[AggP5]	[SeqAggP]	[AggP_Proteasome]	[ATP]	[ADP]	[AMP]	[UCHL1]	[UCHL1_Proteasome]	[UCHL1_damaged_Proteasome]	[Lysosome]	[UCHL1_damaged]	[Lamp2a]	[Lamp2a_UCHL1_damaged]	[Ub_UCHL1]	[SUB]	[SUB_misfolded]	[E3SUB]	[E3SUB_SUB_misfolded]	[E3SUB_SUB_misfolded_Ub]	[E3SUB_SUB_misfolded_Ub2]	[E3SUB_SUB_misfolded_Ub3]	[E3SUB_SUB_misfolded_Ub4]	[E3SUB_SUB_misfolded_Ub5]	[E3SUB_SUB_misfolded_Ub6]	[E3SUB_SUB_misfolded_Ub7]	[E3SUB_SUB_misfolded_Ub8]	[E3SUB_SUB_misfolded_Ub_UCHL1]	[E3SUB_SUB_misfolded_Ub2_UCHL1]	[E3SUB_SUB_misfolded_Ub3_UCHL1]	[E3SUB_SUB_misfolded_Ub4_UCHL1]	[E3SUB_SUB_misfolded_Ub5_UCHL1]	[E3SUB_SUB_misfolded_Ub6_UCHL1]	[E3SUB_SUB_misfolded_Ub7_UCHL1]	[E3SUB_SUB_misfolded_Ub8_UCHL1]	[SUB_misfolded_Ub4_Proteasome]	[SUB_misfolded_Ub5_Proteasome]	[SUB_misfolded_Ub6_Proteasome]	[SUB_misfolded_Ub7_Proteasome]	[SUB_misfolded_Ub8_Proteasome]	[asyn]	[asyn_Proteasome]	[asyn_Lamp2a]	[asyn_dam]	[Parkin]	[Parkin_asyn_dam]	[Parkin_asyn_dam_Ub]	[Parkin_asyn_dam_Ub2]	[Parkin_asyn_dam_Ub3]	[Parkin_asyn_dam_Ub4]	[Parkin_asyn_dam_Ub5]	[Parkin_asyn_dam_Ub6]	[Parkin_asyn_dam_Ub7]	[Parkin_asyn_dam_Ub8]	[Parkin_asyn_dam_Ub_DUB]	[Parkin_asyn_dam_Ub2_DUB]	[Parkin_asyn_dam_Ub3_DUB]	[Parkin_asyn_dam_Ub4_DUB]	[Parkin_asyn_dam_Ub5_DUB]	[Parkin_asyn_dam_Ub6_DUB]	[Parkin_asyn_dam_Ub7_DUB]	[Parkin_asyn_dam_Ub8_DUB]	[asyn_dam_Ub4_Proteasome]	[asyn_dam_Ub5_Proteasome]	[asyn_dam_Ub6_Proteasome]	[asyn_dam_Ub7_Proteasome]	[asyn_dam_Ub8_Proteasome]	[AggA1]	[AggA2]	[AggA3]	[AggA4]	[AggA5]	[AggD1]	[AggD2]	[AggD3]	[AggD4]	[AggD5]	[AggU1]	[AggU2]	[AggU3]	[AggU4]	[AggU5]	[AggS1]	[AggS2]	[AggS3]	[AggS4]	[AggS5]	[Source]	[Sink]	[aggasyn]	[aggasyndam]	[aggParkin]	[aggUb]	[aggE3]	[aggDUB]	[aggMisP]	[aggUchl1]	[aggUchl1dam]	[aggSUB]	[upregUb]
0	6000	80	1500	105	50	300	2	160	1500	10	795	950	0	0	0	0	0	0	0	300	0	1	2	10	350	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	10000	1000	1000	5785	10	0	1200	0	200	0	500	815	5	160	5	0	0	0	0	0	0	0	15	20	20	25	25	30	30	40	40	0	0	0	5	20	3000	0	0	0	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
1	6000.01	79.9947	1497.4	117.314	43.9122	299.847	2.31929	160	1500.31	10	782.686	956.088	0.229708	0.227133	0.223801	0.218654	0.210484	0.197785	0.179627	298.347	0.00108919	0.99428	1.9886	9.98823	349.854	100	100	100	100	100	100	100	99.9996	3.15977e-09	1.26388e-17	3.37024e-26	6.74027e-35	1.07841e-43	2.35676e-37	8.43582e-11	10000	1000	1000	5784.01	9.90395	1.72872e-10	1200	0.000577874	199.976	5.78026e-07	500.986	814.967	4.77296	159.73	2.17326	0.23696	0.258424	0.280852	0.301638	0.316923	0.321734	0.312041	16.0667	20.0001	20.0006	25.0001	25.0006	30	30.001	40	39.9995	0.00167242	0.00142391	0.0019664	4.9701	19.9777	2999.99	0.00761266	0.0239865	0.00119132	4800	0.000227274	1.91797e-05	1.58386e-05	1.27546e-05	9.97334e-06	7.54954e-06	5.51345e-06	3.8731e-06	6.67453e-06	2.08112e-10	1.55146e-10	1.12494e-10	7.90795e-11	5.37895e-11	3.53224e-11	2.2351e-11	3.08625e-11	1.8514e-08	1.25945e-08	8.27139e-09	5.23439e-09	7.22879e-09	2.24924e-05	1.68692e-11	8.4346e-18	3.16297e-24	9.48891e-31	-3.21296e-09	-5.16664e-15	-5.53849e-21	-4.45271e-27	-2.8638e-33	-1.44464e-09	-1.04398e-15	-5.02945e-22	-1.8172e-28	-5.25262e-35	9.49105e-12	2.34074e-21	3.82992e-31	4.69079e-41	4.5917e-51	1	1	1.66056e-36	-1.07444e-38	4.11201e-50	1.231e-42	1.86052e-43	1.35048e-43	1.49176e-43	3.88267e-44	-8.85675e-41	4.30533e-44	6.90278e-09
2	6000.01	79.9909	1492.8	127.192	43.0066	299.693	2.44174	160.001	1500.6	10	772.808	956.993	0.243347	0.242417	0.241375	0.240021	0.238532	0.236884	0.235035	298.188	0.00297285	0.989541	1.97834	9.97769	349.704	100	100	100	100	100	100	100	99.9991	6.31915e-09	5.05509e-17	2.6959e-25	1.0783e-33	3.45035e-42	1.24464e-35	3.37435e-10	10000	1000	1000	5783.14	9.80886	6.88786e-10	1200	0.0011545	199.952	2.31022e-06	501.858	814.934	4.56359	159.495	1.0756	0.11524	0.123751	0.133187	0.143524	0.15497	0.167617	0.181513	18.4056	20.0001	20.0011	25.0001	25.0011	30.0001	30.0021	40.0001	39.9995	0.00325038	0.00312898	0.00457654	4.9414	19.9716	2999.99	0.0151511	0.0479462	0.00192855	4800	0.000596189	5.58448e-05	5.20193e-05	4.81571e-05	4.42442e-05	4.03387e-05	3.64644e-05	3.26481e-05	0.000164396	1.40381e-09	1.22972e-09	1.06855e-09	9.19742e-10	7.84112e-10	6.61541e-10	5.51873e-10	2.02207e-09	2.14973e-07	1.83304e-07	1.54676e-07	1.29062e-07	4.73108e-07	4.49844e-05	6.74764e-11	6.74762e-17	5.0607e-23	3.03641e-29	-1.11465e-08	-6.22241e-14	-2.31551e-19	-6.46215e-25	-1.44274e-30	-5.77217e-09	-1.66744e-14	-3.21103e-20	-4.63755e-26	-5.3582e-32	1.80491e-11	8.78601e-21	2.82401e-30	6.7819e-40	1.30048e-49	1	1	1.06275e-34	-1.87895e-35	1.63585e-47	1.41077e-40	2.12853e-41	1.54484e-41	1.70716e-41	4.44148e-42	-3.61137e-37	4.92539e-42	1.38032e-08
3	6000.02	79.9883	1486.86	132.656	38.3968	299.542	2.48214	160.001	1500.88	10	767.344	961.603	0.247982	0.247709	0.24739	0.246827	0.246209	0.245528	0.24478	298.25	0.00493512	0.984941	1.96828	9.96735	349.554	100	100	100	100	100	100	100	99.9987	9.47826e-09	1.13732e-16	9.09786e-25	5.45829e-33	2.61977e-41	7.39141e-36	7.59242e-10	10000	1000	1000	5782.4	9.71471	1.54372e-09	1200	0.0017299	199.928	5.19377e-06	502.593	814.902	4.37062	159.285	0.641284	0.067188	0.0705669	0.0743005	0.0783632	0.0828555	0.0878245	0.0933225	19.5121	20.0001	20.0016	25.0001	25.0016	30.0001	30.0031	40.0001	39.9999	0.00402114	0.00395639	0.00624029	4.91195	19.978	2999.98	0.0226159	0.071879	0.00238479	4800	0.000910306	8.81297e-05	8.51276e-05	8.20255e-05	7.87661e-05	7.54168e-05	7.19815e-05	6.84658e-05	0.000649297	3.72971e-09	3.44516e-09	3.17099e-09	2.90546e-09	2.65134e-09	2.40891e-09	2.17904e-09	1.41225e-08	6.77769e-07	6.18621e-07	5.62174e-07	5.08719e-07	3.29993e-06	6.74762e-05	1.51821e-10	2.2773e-16	2.56195e-22	2.30575e-28	-2.19967e-08	-2.4243e-13	-1.78106e-18	-9.81319e-24	-4.32538e-29	-1.2973e-08	-8.4267e-14	-3.64873e-19	-1.18488e-24	-3.07821e-30	2.57893e-11	1.85906e-20	8.80825e-30	3.11254e-39	8.77449e-49	1	1	1.21052e-33	-1.11214e-33	2.16304e-46	1.05285e-39	1.58725e-40	1.15188e-40	1.27305e-40	3.31174e-41	-4.66511e-35	3.67272e-41	2.0702e-08
4	6000.03	79.9871	1480.51	134.069	34.5001	299.394	2.48988	160.002	1501.15	10	765.931	965.5	0.248973	0.248944	0.248899	0.248644	0.248369	0.248072	0.247749	298.378	0.006913	0.980405	1.95832	9.95711	349.407	100	100	100	100	100	100	100	99.9982	1.26372e-08	2.02179e-16	2.15638e-24	1.72494e-32	1.10386e-40	-1.66876e-33	1.3498e-09	10000	1000	1000	5781.8	9.62151	2.73369e-09	1200	0.00230409	199.904	9.22591e-06	503.184	814.869	4.19278	159.096	0.463728	0.0476458	0.0490419	0.0505745	0.0522166	0.0540236	0.0560135	0.0582063	20.0635	20.0001	20.0021	25.0001	25.0021	30.0001	30.0041	40.0001	40.0005	0.0044683	0.00442639	0.00749879	4.88226	19.9903	2999.98	0.0300079	0.0957849	0.00266715	4800	0.00113535	0.000111547	0.000109471	0.000107307	0.000104971	0.000102546	0.00010003	9.74208e-05	0.00144813	6.94781e-09	6.5824e-09	6.22426e-09	5.86938e-09	5.52292e-09	5.18517e-09	4.85957e-09	4.69417e-08	1.3662e-06	1.28586e-06	1.20751e-06	1.13239e-06	1.09526e-05	8.99678e-05	2.69901e-10	5.39799e-16	8.09694e-22	9.71629e-28	-3.465e-08	-6.01738e-13	-6.96588e-18	-6.04761e-23	-4.2002e-28	-2.30377e-08	-2.65862e-13	-2.04516e-18	-1.17988e-23	-5.44543e-29	3.28114e-11	3.1146e-20	1.93458e-29	8.94641e-39	3.29778e-48	1	1	6.80142e-33	-1.70166e-32	-6.95488e-45	-1.62907e-38	-2.45361e-39	-1.78025e-39	-1.96767e-39	-5.11844e-40	-1.46606e-33	-5.6767e-40	2.75998e-08
5	6000.03	79.987	1474.38	133.095	31.9069	299.248	2.48708	160.002	1501.41	10	766.905	968.093	0.248752	0.248794	0.248832	0.248673	0.248508	0.248337	0.24816	298.527	0.00888268	0.975905	1.94844	9.94693	349.263	100	100	100	100	100	100	100	99.9978	1.5796e-08	3.15891e-16	4.21146e-24	4.21101e-32	3.36845e-40	-1.74449e-32	2.10913e-09	10000	1000	1000	5781.35	9.52922	4.25477e-09	1200	0.00287709	199.88	1.44039e-05	503.638	814.836	4.02889	158.922	0.386269	0.0392052	0.0398315	0.0405108	0.0412164	0.0419857	0.0428256	0.0437438	20.3899	20.0002	20.0027	25.0002	25.0027	30.0002	30.0051	40.0001	40.0012	0.00478247	0.00475042	0.00858669	4.85261	20.0057	2999.97	0.0373276	0.119664	0.0028419	4800	0.00128521	0.000127225	0.000125867	0.000124446	0.000122863	0.000121213	0.000119494	0.000117704	0.00247997	1.07859e-08	1.03662e-08	9.95134e-09	9.53438e-09	9.12333e-09	8.7184e-09	8.32988e-09	1.09276e-07	2.21404e-06	2.11914e-06	2.02561e-06	1.93723e-06	2.54564e-05	0.000112459	4.21717e-10	1.05428e-15	1.97677e-21	2.96514e-27	-4.84184e-08	-1.1752e-12	-1.90144e-17	-2.30723e-22	-2.23964e-27	-3.59569e-08	-6.47953e-13	-7.78296e-18	-7.01101e-23	-5.05242e-28	3.92023e-11	4.5955e-20	3.50988e-29	1.99255e-38	9.00904e-48	1	1	2.59449e-32	-1.26818e-31	-1.57038e-43	-2.7841e-37	-4.19213e-38	-3.04136e-38	-3.36152e-38	-8.74435e-39	-2.12398e-32	-9.69827e-39	3.44972e-08
6	6000.04	79.9881	1468.78	131.009	30.2993	299.104	2.48211	160.002	1501.67	10	768.991	969.701	0.248262	0.248313	0.248364	0.248222	0.248081	0.247939	0.247795	298.679	0.0108365	0.971434	1.93863	9.93679	349.121	100	100	100	100	100	100	100	99.9973	1.89549e-08	4.5487e-16	7.27714e-24	8.73159e-32	8.38137e-40	-1.02823e-31	3.03726e-09	10000	1000	1000	5781.01	9.43786	6.10307e-09	1200	0.0034489	199.856	2.0725e-05	503.969	814.803	3.87783	158.764	0.348183	0.0351223	0.0354454	0.0357896	0.0361288	0.0364931	0.0368851	0.0373077	20.62	20.0002	20.0032	25.0002	25.0032	30.0002	30.0062	40.0002	40.0019	0.00503784	0.00501069	0.00959518	4.82309	20.0231	2999.97	0.0445758	0.143516	0.00295005	4799.99	0.00138155	0.000137331	0.000136467	0.000135559	0.000134503	0.000133402	0.000132254	0.000131057	0.00366679	1.50309e-08	1.45762e-08	1.41246e-08	1.3666e-08	1.32115e-08	1.27613e-08	1.23401e-08	2.07284e-07	3.16548e-06	3.06106e-06	2.95756e-06	2.86413e-06	4.82077e-05	0.00013495	6.07267e-10	1.82179e-15	4.09899e-21	7.37813e-27	-6.28765e-08	-1.98214e-12	-4.16533e-17	-6.56457e-22	-8.27641e-27	-5.17211e-08	-1.34128e-12	-2.31844e-17	-3.00539e-22	-3.11662e-27	4.50373e-11	6.26116e-20	5.64772e-29	3.78054e-38	2.01394e-47	1	1	7.74698e-32	-6.08688e-31	-1.51872e-42	-2.09463e-36	-3.15316e-37	-2.28733e-37	-2.5281e-37	-6.57648e-38	-1.88535e-31	-7.29404e-38	4.13949e-08
7	6000.04	79.9903	1463.83	128.559	29.3078	298.964	2.47759	160.003	1501.93	10	771.441	970.692	0.247801	0.247844	0.247888	0.247742	0.247596	0.247451	0.247307	298.828	0.0127731	0.966988	1.92888	9.9267	348.981	100	100	100	100	100	100	100	99.9969	2.21139e-08	6.19119e-16	1.15556e-23	1.6176e-31	1.8115e-39	-4.53918e-31	4.13422e-09	10000	1000	1000	5780.78	9.34741	8.27473e-09	1200	0.00401955	199.833	2.81866e-05	504.193	814.771	3.73858	158.618	0.325958	0.0327875	0.0329872	0.0331957	0.0333878	0.0335901	0.0338036	0.0340295	20.8042	20.0002	20.0037	25.0002	25.0037	30.0002	30.0072	40.0002	40.0027	0.00526359	0.00523945	0.01056	4.79373	20.0419	2999.96	0.0517532	0.167342	0.00301698	4799.99	0.0014424	0.000143723	0.000143179	0.000142608	0.000141899	0.00014116	0.000140391	0.00013959	0.00495045	1.95357e-08	1.90589e-08	1.8584e-08	1.80975e-08	1.7614e-08	1.71336e-08	1.67067e-08	3.44937e-07	4.18089e-06	4.07037e-06	3.9605e-06	3.8699e-06	8.00823e-05	0.000157441	8.26551e-10	2.8929e-15	7.5938e-21	1.59469e-26	-7.77612e-08	-3.03201e-12	-7.88083e-17	-1.53623e-21	-2.39563e-26	-7.03213e-08	-2.48061e-12	-5.83235e-17	-1.02837e-21	-1.45053e-26	5.03817e-11	8.07838e-20	8.37093e-29	6.42718e-38	3.92422e-47	1	1	1.95345e-31	-2.17922e-30	-9.75874e-42	-1.09092e-35	-1.64185e-36	-1.19087e-36	-1.31622e-36	-3.42402e-37	-1.19351e-30	-3.79766e-37	4.82935e-08
8	6000.05	79.9935	1459.52	126.127	28.6744	298.826	2.47401	160.003	1502.18	10	773.873	971.326	0.247433	0.247466	0.247501	0.247345	0.24719	0.247036	0.246883	298.973	0.0146927	0.962567	1.91919	9.91665	348.844	100	100	100	100	100	100	100	99.9964	2.52731e-08	8.08642e-16	1.72491e-23	2.75955e-31	3.53182e-39	-1.68687e-30	5.40003e-09	10000	1000	1000	5780.65	9.25786	1.0766e-08	1200	0.00458905	199.809	3.67861e-05	504.328	814.738	3.61019	158.485	0.310472	0.0311894	0.0313353	0.0314852	0.0316149	0.0317491	0.031888	0.0320323	20.9626	20.0002	20.0042	25.0002	25.0042	30.0002	30.0082	40.0002	40.0036	0.00547151	0.00544966	0.0114956	4.76456	20.0618	2999.96	0.0588605	0.191141	0.0030584	4799.99	0.00148045	0.000147722	0.000147383	0.000147027	0.000146539	0.000146033	0.000145507	0.000144962	0.00629166	2.42039e-08	2.37132e-08	2.32237e-08	2.27184e-08	2.22153e-08	2.17144e-08	2.13076e-08	5.24657e-07	5.23398e-06	5.11961e-06	5.0057e-06	4.926e-06	0.000121589	0.000179931	1.07957e-09	4.31822e-15	1.29545e-20	3.10907e-26	-9.29098e-08	-4.32874e-12	-1.34444e-16	-3.13159e-21	-5.83539e-26	-9.17482e-08	-4.22456e-12	-1.29649e-16	-2.98382e-21	-5.49354e-26	5.52926e-11	1.002e-19	1.16896e-28	1.00899e-37	6.92066e-47	1	1	4.35253e-31	-6.34301e-30	-4.88909e-41	-4.57227e-35	-6.88001e-36	-4.98965e-36	-5.51482e-36	-1.43465e-36	-5.90013e-30	-1.59122e-36	5.51935e-08
9	6000.06	79.9977	1455.8	123.883	28.2447	298.69	2.47122	160.004	1502.42	10	776.117	971.755	0.247147	0.247173	0.247199	0.247036	0.246873	0.24671	0.246549	299.114	0.0165963	0.958173	1.90956	9.90665	348.71	100	100	100	100	100	100	100	99.996	2.84325e-08	1.02345e-15	2.456e-23	4.42034e-31	6.36462e-39	-5.58717e-30	6.83473e-09	10000	1000	1000	5780.58	9.1692	1.3573e-08	1200	0.00515741	199.785	4.65208e-05	504.387	814.705	3.4918	158.363	0.298153	0.0299328	0.0300523	0.0301739	0.0302743	0.0303768	0.0304817	0.0305891	21.1036	20.0002	20.0047	25.0002	25.0047	30.0002	30.0092	40.0002	40.0044	0.00566663	0.00564682	0.0124081	4.73558	20.0828	2999.95	0.0658982	0.214913	0.00308404	4799.99	0.00150409	0.000150209	0.000149999	0.000149777	0.000149429	0.00014907	0.000148698	0.000148313	0.00766498	2.8974e-08	2.84746e-08	2.79761e-08	2.74576e-08	2.69408e-08	2.64258e-08	2.60652e-08	7.47844e-07	6.30794e-06	6.19114e-06	6.07467e-06	6.01457e-06	0.000172992	0.000202421	1.36632e-09	6.14834e-15	2.07504e-20	5.60258e-26	-1.08222e-07	-5.87344e-12	-2.12498e-16	-5.76585e-21	-1.25156e-25	-1.15993e-07	-6.75539e-12	-2.62216e-16	-7.63279e-21	-1.77739e-25	5.98196e-11	1.20639e-19	1.56048e-28	1.49134e-37	1.13178e-46	1	1	8.82344e-31	-1.58477e-29	-2.07209e-40	-1.66106e-34	-2.49899e-35	-1.81216e-35	-2.00288e-35	-5.21046e-36	-2.41442e-29	-5.77913e-36	6.20953e-08
10	6000.06	80.0028	1452.6	121.884	27.9319	298.556	2.469	160.004	1502.66	10	778.116	972.068	0.24692	0.246941	0.246962	0.246793	0.246624	0.246456	0.246289	299.251	0.0184845	0.953805	1.89999	9.89669	348.577	100	100	100	100	100	100	100	99.9956	3.15923e-08	1.26354e-15	3.36909e-23	6.73756e-31	1.07792e-38	-1.6959e-29	8.43834e-09	10000	1000	1000	5780.58	9.08142	1.66922e-08	1200	0.00572463	199.761	5.7388e-05	504.385	814.672	3.38262	158.251	0.287573	0.0288602	0.0289643	0.0290697	0.029154	0.0292395	0.0293263	0.0294146	21.2311	20.0002	20.0052	25.0002	25.0052	30.0002	30.0102	40.0002	40.0053	0.00585136	0.00583352	0.0133003	4.70679	20.1047	2999.95	0.0728672	0.238659	0.0030999	4799.99	0.00151871	0.000151747	0.000151617	0.00015148	0.00015122	0.000150952	0.000150676	0.000150393	0.00905431	3.38073e-08	3.33026e-08	3.27985e-08	3.22703e-08	3.17436e-08	3.12184e-08	3.09322e-08	1.01524e-06	7.39214e-06	7.27379e-06	7.15571e-06	7.12486e-06	0.000234405	0.000224911	1.6868e-09	8.43387e-15	3.16267e-20	9.48799e-26	-1.23634e-07	-7.66588e-12	-3.16865e-16	-9.82281e-21	-2.43603e-25	-1.43045e-07	-1.02788e-11	-4.92257e-16	-1.76789e-20	-5.07924e-25	6.40061e-11	1.4192e-19	2.0112e-28	2.10293e-37	1.74492e-46	1	1	1.6602e-30	-3.52416e-29	-7.7704e-40	-5.44296e-34	-8.18731e-35	-5.93639e-35	-6.56119e-35	-1.7069e-35	-8.51298e-29	-1.89319e-35	6.89996e-08
11	6000.07	80.0088	1449.86	120.135	27.6891	298.425	2.46717	160.004	1502.9	10	779.865	972.311	0.246734	0.246751	0.246769	0.246596	0.246423	0.246251	0.24608	299.386	0.0203578	0.949464	1.89049	9.88677	348.447	100	100	100	100	100	100	100	99.9952	3.47525e-08	1.52892e-15	4.48444e-23	9.86496e-31	1.7361e-38	-4.77962e-29	1.02109e-08	10000	1000	1000	5780.63	8.99451	2.01197e-08	1200	0.00629073	199.738	6.93853e-05	504.333	814.64	3.28192	158.148	0.278134	0.0279059	0.0279995	0.0280939	0.0281676	0.0282421	0.0283176	0.028394	21.3472	20.0002	20.0057	25.0002	25.0057	30.0002	30.0112	40.0002	40.0062	0.00602704	0.00601117	0.0141738	4.67819	20.1273	2999.94	0.079768	0.262378	0.00310972	4799.99	0.00152769	0.000152693	0.000152613	0.000152529	0.000152323	0.000152112	0.000151897	0.000151677	0.0104496	3.86797e-08	3.81717e-08	3.76641e-08	3.71285e-08	3.65942e-08	3.60612e-08	3.58805e-08	1.32719e-06	8.47995e-06	8.36061e-06	8.24151e-06	8.25072e-06	0.00030584	0.000247401	2.04101e-09	1.12254e-14	4.6304e-20	1.52802e-25	-1.39109e-07	-9.70535e-12	-4.51397e-16	-1.57455e-20	-4.39376e-25	-1.72898e-07	-1.50236e-11	-8.70008e-16	-3.77812e-20	-1.3125e-24	6.789e-11	1.63894e-19	2.52024e-28	2.85572e-37	2.5662e-46	1	1	2.94079e-30	-7.15227e-29	-2.64172e-39	-1.64251e-33	-2.47029e-34	-1.79094e-34	-1.97943e-34	-5.14957e-35	-2.65985e-28	-5.71159e-35	7.59068e-08
12	6000.08	80.0157	1447.5	118.616	27.4903	298.296	2.4656	160.005	1503.13	10	781.384	972.51	0.246574	0.246589	0.246604	0.246429	0.246254	0.246079	0.245905	299.518	0.0222165	0.94515	1.88105	9.87691	348.319	100	100	100	100	100	100	100	99.9947	3.79132e-08	1.81962e-15	5.82234e-23	1.39728e-30	2.68263e-38	-1.26075e-28	1.21524e-08	10000	1000	1000	5780.72	8.90847	2.3852e-08	1200	0.00685571	199.714	8.25101e-05	504.241	814.607	3.18902	158.054	0.269564	0.0270407	0.0271258	0.0272118	0.0272773	0.0273436	0.0274107	0.0274784	21.453	20.0002	20.0062	25.0002	25.0062	30.0002	30.0122	40.0002	40.0072	0.00619458	0.0061807	0.0150297	4.64979	20.1507	2999.94	0.0866013	0.28607	0.00311579	4799.99	0.00153318	0.000153272	0.000153223	0.000153171	0.000152999	0.000152824	0.000152646	0.000152465	0.0118445	4.3576e-08	4.3066e-08	4.25562e-08	4.20146e-08	4.14742e-08	4.0935e-08	4.08942e-08	1.68376e-06	9.56724e-06	9.44726e-06	9.32752e-06	9.3889e-06	0.000387253	0.00026989	2.42895e-09	1.45734e-14	6.55798e-20	2.36086e-25	-1.54622e-07	-1.19911e-11	-6.19925e-16	-2.40366e-20	-7.45581e-25	-2.05541e-07	-2.1242e-11	-1.46302e-15	-7.55634e-20	-3.12212e-24	7.15045e-11	1.86443e-19	3.08655e-28	3.76059e-37	3.63139e-46	1	1	4.95602e-30	-1.34911e-28	-8.26656e-39	-4.62098e-33	-6.94883e-34	-5.03726e-34	-5.56745e-34	-1.44841e-34	-7.5255e-28	-1.60648e-34	8.28173e-08
13	6000.08	80.0234	1445.48	117.301	27.3217	298.17	2.46421	160.005	1503.36	10	782.699	972.678	0.246434	0.246447	0.24646	0.246283	0.246106	0.24593	0.245754	299.648	0.0240611	0.940863	1.87167	9.86708	348.194	100	100	100	100	100	100	100	99.9943	4.10745e-08	2.13563e-15	7.40308e-23	1.92472e-30	4.00326e-38	-3.12765e-28	1.42629e-08	10000	1000	1000	5780.84	8.82329	2.78855e-08	1200	0.00741958	199.69	9.67599e-05	504.117	814.574	3.10332	157.968	0.261721	0.0262494	0.0263274	0.026406	0.0264649	0.0265243	0.0265844	0.0266451	21.5495	20.0002	20.0067	25.0002	25.0067	30.0002	30.0132	40.0002	40.0082	0.00635467	0.00634282	0.0158688	4.62157	20.1746	2999.93	0.0933678	0.309736	0.00311955	4799.98	0.00153651	0.000153622	0.000153593	0.000153561	0.00015341	0.000153257	0.000153102	0.000152945	0.0132353	4.84869e-08	4.79756e-08	4.74646e-08	4.69178e-08	4.63721e-08	4.58277e-08	4.59653e-08	2.08488e-06	1.06515e-05	1.05311e-05	1.04109e-05	1.05379e-05	0.00047856	0.000292379	2.85062e-09	1.85286e-14	9.03257e-20	3.52266e-25	-1.70159e-07	-1.45223e-11	-8.26252e-16	-3.52568e-20	-1.20353e-24	-2.40965e-07	-2.92085e-11	-2.35941e-15	-1.42919e-19	-6.92537e-24	7.48788e-11	2.09468e-19	3.70894e-28	4.82745e-37	4.97694e-46	1	1	8.00914e-30	-2.39664e-28	-2.4014e-38	-1.21999e-32	-1.83432e-33	-1.32957e-33	-1.46952e-33	-3.82308e-34	-1.95765e-27	-4.24026e-34	8.97316e-08
14	6000.09	80.0318	1443.73	116.161	27.1751	298.045	2.46295	160.005	1503.59	10	783.839	972.825	0.246307	0.246318	0.24633	0.246152	0.245974	0.245796	0.245619	299.775	0.0258917	0.936603	1.86235	9.85731	348.07	100	100	100	100	100	100	100	99.9939	4.42363e-08	2.47697e-15	9.247e-23	2.5891e-30	5.79951e-38	-7.33709e-28	1.65424e-08	10000	1000	1000	5780.98	8.73896	3.22166e-08	1200	0.00798235	199.667	0.000112132	503.968	814.541	3.02424	157.889	0.254519	0.0255229	0.0255945	0.0256667	0.0257196	0.0257731	0.0258271	0.0258817	21.6376	20.0002	20.0072	25.0002	25.0072	30.0002	30.0142	40.0002	40.0092	0.00650789	0.00649812	0.0166919	4.59354	20.1992	2999.93	0.100068	0.333375	0.00312187	4799.98	0.00153849	0.000153832	0.000153814	0.000153795	0.000153657	0.000153517	0.000153377	0.000153235	0.0146194	5.34065e-08	5.28945e-08	5.23827e-08	5.18313e-08	5.1281e-08	5.07319e-08	5.10903e-08	2.53036e-06	1.17311e-05	1.16104e-05	1.149e-05	1.16975e-05	0.000579655	0.000314867	3.30601e-09	2.31416e-14	1.21491e-19	5.10254e-25	-1.8571e-07	-1.72984e-11	-1.07418e-15	-5.00265e-20	-1.86384e-24	-2.79161e-07	-3.92207e-11	-3.67197e-15	-2.57792e-19	-1.44778e-23	7.80386e-11	2.32891e-19	4.38619e-28	6.06544e-37	6.63997e-46	1	1	1.24889e-29	-4.05087e-28	-6.5278e-38	-3.04091e-32	-4.57162e-33	-3.31328e-33	-3.66205e-33	-9.52721e-34	-4.74325e-27	-1.05667e-33	9.66501e-08
